make,model,year,rate
Caterpillar,924K,2013,220.0000
Caterpillar,914K,2015,176.0000
Caterpillar,924,2015,224.0000
Caterpillar,914K,2015,176.0000
John Deere,444K,2015,220.0000
John Deere,326D,2012,173.6000
John Deere,326D,2014,173.6000
John Deere,326D,2012,173.6000
Bobcat,MT55,2014,96.0000
John Deere,333D,2013,265.6000
John Deere,Quicktrak,2013,64.8000
John Deere,Quicktrak,2013,64.8000
John Deere,Quicktrak,2014,64.8000
John Deere,Quicktrak,2014,64.8000
John Deere,Quicktrak,2015,64.8000
John Deere,1585,2014,80.0000
John Deere,1585,2014,100.0000
John Deere,1585,2014,80.0000
John Deere,1585,2014,100.0000
John Deere,3720,2011,96.0000
John Deere,6115 ML,2014,114.0000
John Deere,6115 ML,2014,114.0000
John Deere,6115 ML,2014,113.6000
John Deere,5085M,2014,68.0000
John Deere,3720,2012,96.0000
John Deere,4720,2013,108.0000
John Deere,4720,2013,108.0000
John Deere,4320,2013,108.0000
John Deere,1600,2014,96.0000
John Deere,Z960R Z Trak,2013,64.8000
John Deere,Z960R Z Trak,2013,64.8000
John Deere,Z960R Z Trak,2013,64.8000
John Deere,Z960R,2010,64.8000
John Deere,1600,2013,96.0000
John Deere,1445,2013,64.8000
John Deere,WH48A,2013,43.2000
John Deere,Z930,2013,81.0000
John Deere,Z930,2014,81.0000
John Deere,1600,2014,96.0000
John Deere,Z820A,2009,81.0000
John Deere,WH48A,2012,54.0000
John Deere,WH48A,2012,54.0000
John Deere,WH48A,2012,54.0000
John Deere,WH48A,2012,54.0000
John Deere,Quicktrak Pro 652R,2015,64.8000
John Deere,WH48A,2015,54.0000
John Deere,WH48A,2015,54.0000
John Deere,Quicktrak Pro 652R,2015,81.0000
John Deere,Quicktrak Pro 652R,2015,81.0000
John Deere,WH48A,2015,43.2000
John Deere,6115 ML,2014,113.6000
John Deere,6115 ML,2014,113.6000
John Deere,6115 ML,2014,142.0000
John Deere,6115 ML,2014,142.0000
John Deere,6115 ML,2014,142.0000
John Deere,6115 ML,2014,142.0000
John Deere,6115 ML,2014,142.0000
John Deere,3720,2012,120.0000
John Deere,MX6,2014,75.0000
John Deere,MX8,2014,80.0000
Stihl,HS46C,2013,27.0000
Stihl,HS46C,2013,21.6000
Wallenstein,WXS40,2012,60.0000
Holder,C 270,2013,96.0000
John Deere,320D Skidsteer,2015,184.7900
John Deere,319DT,2011,184.7900
John Deere,319D,2011,184.7900
John Deere,3039R,2014,120.6600
John Deere,3520,2012,120.6600
Caterpillar,924,2014,270.0000
John Deere,3720,2013,120.6600
John Deere,7230,2009,323.9300
John Deere,7930,2011,461.9800
John Deere,7230,2009,323.9300
John Deere,CX15,2014,323.9300
Trinovation,Hurricane,2013,508.7200
John Deere,328E,2014,231.5300
Vermeer,BC700XL,2014,231.5300
John Deere,3720,2014,120.6600
John Deere,300CX,2012,46.7400
John Deere,1445,2013,92.4000
Vermeer,BC1000XL,2013,323.9300
John Deere,35D,2015,277.1900
John Deere,27D,2013,212.5000
John Deere,3032E,2014,120.6600
John Deere,3720,2013,120.6600
John Deere,3720,2013,120.6600
John Deere,300CX,2013,46.7400
John Deere,3520,2014,323.9300
John Deere,3720,2014,120.6600
John Deere,3720,2010,120.6600
John Deere,60,2009,166.3100
John Deere,HH60,2013,139.1400
John Deere,MX6,2011,139.1400
John Deere,HB50,2004,139.1400
Frontier,CA1072,2011,92.4000
John Deere,BP72,2004,184.7900
Landpride,OS1548,2008,139.1400
John Deere,PA30,2013,115.2200
John Deere,6150R,2013,276.1000
